authoring_id,primary_chapter,primary_role,source_version,source_file,mapping_action,protected_legacy_candidate,mapping_state,current_frontier_note,does_not_prove
CH16-P05,CH16,DETAIL_DEVELOPMENT,v0.2,CH16_DESIGN-DETAIL-DEVELOPMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH16-P06,CH16,DETAIL_DEVELOPMENT,v0.2,CH16_DESIGN-DETAIL-DEVELOPMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH16-P07,CH16,DETAIL_DEVELOPMENT,v0.2,CH16_DESIGN-DETAIL-DEVELOPMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P01,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,MAP_TO_LEGACY,C04-WEB-P043,DIRECT_CANDIDATE,Technical Proof intro; Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P02,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P03,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,EXPAND_FROM_LEGACY,C04-WEB-P035,PROVISIONAL_BIND,SEC-A / cable proof; legacy label R01 General Assembly; Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P04,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,MAP_TO_LEGACY,C04-WEB-P033|C04-WEB-P036,NO_COMPRESSION_TWO_SURFACES,General Assembly + Detail Atlas remain independent; Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P05,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,EXPAND_FROM_LEGACY,C04-WEB-P044|C04-WEB-P045,OWNER_REVIEW_REQUIRED,Cross-media invariants + scene/technical references; Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH17-P06,CH17,TECHNICAL_MODEL_PROOF,v0.2,CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,Proof only; technical/model proof does not own design source,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P01,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P02,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P03,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P04,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P05,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH18-P06,CH18,EVOLUTION_JUDGMENT,v0.2,CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH19-P01,CH19,RETURN_CLOSURE,v0.2,CH19_OPEN-ITEMS-RETURN-CLOSURE.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH19-P02,CH19,RETURN_CLOSURE,v0.2,CH19_OPEN-ITEMS-RETURN-CLOSURE.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH19-P03,CH19,RETURN_CLOSURE,v0.2,CH19_OPEN-ITEMS-RETURN-CLOSURE.md,EXPAND_FROM_LEGACY,C04-WEB-P006,LOW_CONFIDENCE,Return closure candidate; legacy RICH label unresolved,NO FINAL PAGE COUNT / NO DESIGN PASS
CH19-P04,CH19,RETURN_CLOSURE,v0.2,CH19_OPEN-ITEMS-RETURN-CLOSURE.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH19-P05,CH19,RETURN_CLOSURE,v0.2,CH19_OPEN-ITEMS-RETURN-CLOSURE.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
