branch,sha,committed_at,subject,classification,protected_reason
governance/c04-frontier-readback-20260906,6fab0b8da07b31b1fe9cefd0406140f720fe4b71,2026-09-05 23:23:57 +0800,design(c04): repair P02 rail lean-rest relation,SAFE_DELETE_MERGED_REF,
governance/c04-web-frontier-cutover-20260830,8ed196aaae613ee8189d07c4d5badcab6ce1ca6d,2026-08-30 01:50:34 +0800,governance: cut C04 Current producer pointer over to PR465,SAFE_DELETE_MERGED_REF,
governance/control-card-repo-scan-20260816,59ea98259e68cf858a69194269972713924b15c7,2026-08-16 15:33:36 +0800,run current Control Card scan on every governance CI,SAFE_DELETE_MERGED_REF,
governance/control-plane-no-loss-enforcement-20260816,2f95abfa1dabc9c8d848eadbbe8035c4c2bf08e3,2026-08-16 15:19:42 +0800,document global no-loss control-plane enforcement,SAFE_DELETE_MERGED_REF,
governance/control-plane-no-loss-readback-20260816,23881f7bd4d95adb7fc9356e22cd659de924fe32,2026-08-16 15:21:41 +0800,align control-plane entrypoint with no-loss enforcement,SAFE_DELETE_MERGED_REF,
governance/global-no-compression-no-loss-20260816,89a91c1f5c7a71ac5782709e05330104c425e155,2026-08-16 15:12:52 +0800,OLEANDER governance: align global policy activation state,SAFE_DELETE_MERGED_REF,
governance/no-loss-stored-card-compat-audit-20260816,663ad2dc0f39e6ee69b0a334771a1fe81d2ef019,2026-08-16 15:30:45 +0800,record no-loss stored Control Card compatibility audit,SAFE_DELETE_MERGED_REF,
governance/pixel-fidelity-20260817,8e6993c9332c2d6d0affaa5e88f27ccc73de06f0,2026-08-17 12:06:22 +0800,runtime: route reference materialization to canonical shared toolchain,SAFE_DELETE_MERGED_REF,
governance/refresh-c04-frontier-20260906,6fab0b8da07b31b1fe9cefd0406140f720fe4b71,2026-09-05 23:23:57 +0800,design(c04): repair P02 rail lean-rest relation,SAFE_DELETE_MERGED_REF,
governance/retroactive-persistence-audit-2026-08-11,4f9c909d07ee91e7a24d30eede284f997f6cae24,2026-08-11 15:09:33 +0800,governance: add machine-readable retro persistence audit index,SAFE_DELETE_MERGED_REF,
governance/sync-contract-v1-1,0f77e85dae207588f50d9727d0cf7b860b3537fb,2026-08-15 09:34:36 +0800,Bind F readback receipt into sync contract regression,SAFE_DELETE_MERGED_REF,
governance/sync-contract-v1-1-postmerge-receipt,2d8270872815b87a22289c8c68dd49cf71dc3e22,2026-08-15 09:37:14 +0800,Validate post-merge current sync state receipt,SAFE_DELETE_MERGED_REF,
modeling-worker-v0-12-canonical-review,b83419c6d34e4a16413fc8d79cd289981f24741a,2026-08-13 22:23:21 +0800,Merge pull request #91 from Jiaosong/agent/modeling-worker-v0-12-freeform-surface,SAFE_DELETE_MERGED_REF,
oleander-design-a02-family-verbs-20260907,ceb30a0adc0dd1f027d8c830c8128845285184be,2026-09-07 14:12:12 +0800,governance: align C04 control card to fresh Web head,SAFE_DELETE_MERGED_REF,
oleander-design-ch14-p04-role-in-context-20260909-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-ch14-p07-decision-hierarchy-20260909-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-ch14-p08-presence-20260907,85176cfdf1bb23dfc0547388d1e0831ca4db841b,2026-09-07 15:32:58 +0800,3d-skill: separate runtime project learning from historical Skill usage,SAFE_DELETE_MERGED_REF,
oleander-design-d04-runtime-semantic-sync-20260908-1727,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-d04-runtime-sync-20260908-1425,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-d04-runtime-sync-20260908-1523,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-j03-cable-20260907,7393b01c2c743255261d2cf04bd8b49fc72c2049,2026-09-07 00:37:00 +0800,governance: restore design-process capability aggregate parity,SAFE_DELETE_MERGED_REF,
oleander-design-j04-topology-repair-20260908-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-j05-return-service-20260908-r12,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-j06-no-phone-fallback-20260908-2127,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-m01-paper-memory-20260909-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-p01-footfall-clearzone-20260907,3ff9b30f3711db47a714720c3e89fdd97bddb265,2026-09-07 04:29:15 +0800,design(c04): repair J04 topology and decision-point read,SAFE_DELETE_MERGED_REF,
oleander-design-p01-temporal-response-20260909-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-p02-assembly-service-20260908-r11,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
oleander-design-r06-same-source-transfer-20260909-r11,aa311040c1825e61ee95479a57f7daa5f36bcfc8,2026-09-09 11:00:41 +0800,feat: bind CAD direct intent into governed sidecar request,SAFE_DELETE_MERGED_REF,
oleander-design-r07-dual-name-20260908-r11,2c7efe853fbbc8ec99b5074be9ca26f2b101a5d4,2026-09-08 00:03:36 +0800,governance: currentize Blender bounded absorption,SAFE_DELETE_MERGED_REF,
oleander/c04-current-register-control-repair-20260829,161571950009e8fbe61e514e26d01b02cd943c96,2026-08-29 22:34:36 +0800,C04: currentize protected register count semantics,SAFE_DELETE_MERGED_REF,
oleander/capability-gap-source-map-20260829,9b440099d44ec13582229449f3ae1508d5e32b08,2026-08-29 10:06:41 +0800,governance: add next capability gap/source map,SAFE_DELETE_MERGED_REF,
oleander/chat-resume-checkpoint-20260909,5508d812d50c6ff007ceff87744007874e4b90bb,2026-09-09 13:19:17 +0800,Align image-consumption validator with resolver 1.2.3,SAFE_DELETE_MERGED_REF,
oleander/chat-runtime-continuity-routing-loop-20260909,2761c1a4ab1f9333d9d9f8c5a3b2e1cbd2e2d446,2026-09-09 14:14:53 +0800,Track Resolver 1.2.4 in image-consumption validator,SAFE_DELETE_MERGED_REF,
oleander/cross-context-batch4-20260829,5be133f7212dabb605872bdf8d4d28be57da528e,2026-08-29 09:01:56 +0800,OLEANDER: link batch4 routing to cross-context evidence,SAFE_DELETE_MERGED_REF,
oleander/design-c04-p09-currentization-20260905,20ff7ff003a7d4e90a025aba6932b7e1029db151,2026-09-05 17:07:38 +0800,governance: align C04 control card with current web head,SAFE_DELETE_MERGED_REF,
oleander/dfm-gdt-metrology-digestion-20260829,3270398af2c52e10f24b686f69fb02484c6dbc07,2026-08-29 17:52:00 +0800,Merge latest main into DFM GD&T metrology digestion,SAFE_DELETE_MERGED_REF,
oleander/digest-external-skills-batch-20260828,d5c7e51faff4b1fb95a1ee89c8434b39a044d3ac,2026-08-28 19:46:28 +0800,evals: add regression cases for six external-skill digestions,SAFE_DELETE_MERGED_REF,
oleander/digest-external-skills-batch2-20260828,4581c6d4e6c66ded87d2362bd3bb80c3a29152dc,2026-08-28 20:02:33 +0800,skills: bind IA layout and accessible interaction extensions,SAFE_DELETE_MERGED_REF,
oleander/digest-external-skills-batch4-20260829,c1cd9f26ad9a074ab242b52c376303d5bb9c7e69,2026-08-29 08:37:39 +0800,OLEANDER: add batch4 external digestion golden cases,SAFE_DELETE_MERGED_REF,
oleander/digest-external-skills-round2-20260828,b9bfaec5832ae9658635d8272923c4afbcce78eb,2026-08-28 20:58:23 +0800,evals: add external digestion round 2 cases,SAFE_DELETE_MERGED_REF,
oleander/digest-personal-homepage-20260828,5acc4a61975a3ca7b26fe2d945aac9e6ce186ea6,2026-08-28 19:23:51 +0800,motion: add page-level orchestration extension,SAFE_DELETE_MERGED_REF,
oleander/evidence-reasoning-digestion-20260829,687c25232d54d2d1f50825835069a3d644696750,2026-08-29 10:33:20 +0800,evals: add evidence reasoning regression cases,SAFE_DELETE_MERGED_REF,
oleander/execution-integrity-20260830,6da1302cfc48497cf1e22f00a33016364a6f6f78,2026-08-30 01:15:02 +0800,ci: restore pinned checkout action while adding integrity gate,SAFE_DELETE_MERGED_REF,
oleander/field-survey-reality-capture-20260829,e0968bf85a7cce79c585744d5bc0d25dd10b2a4e,2026-08-29 18:18:36 +0800,eval: add reality-capture geometry handoff adversarial spec,SAFE_DELETE_MERGED_REF,
oleander/integrate-effect-system-20260830,e24be866bb5af8427c3139855949de88cc4b0d61,2026-08-30 00:15:35 +0800,Motion: keep central capability contract unchanged; route effect delta through binding,SAFE_DELETE_MERGED_REF,
oleander/openbim-ifc-ids-bcf-20260829,b1d5ac55762e6606eb99d4a192dcce534d717773,2026-08-29 21:42:04 +0800,OLEANDER: add IDS BCF closure adversarial eval,SAFE_DELETE_MERGED_REF,
oleander/physical-evidence-digestion-20260829,99d44618c764adaf6b7ed24674d824c07476e855,2026-08-29 10:53:46 +0800,OLEANDER: add physical evidence golden regressions,SAFE_DELETE_MERGED_REF,
oleander/physical-prototype-vv-execution-20260829,9ad3f71026f9d65a0ea139bea65240a128bdcd37,2026-08-29 18:02:57 +0800,Training: add SK-DES-013 prototype V&V adversarial eval,SAFE_DELETE_MERGED_REF,
oleander/process-existing-project-repair-20260830,611a2873fcfb6bfd039f283d4d0b2ce3d67b6be4,2026-08-30 00:56:28 +0800,process: route existing project repair extension,SAFE_DELETE_MERGED_REF,
oleander/reference-materialization-gate-20260817,b16606a87c346b792e8ed18d61bffb284519822d,2026-08-17 11:10:00 +0800,Document reference materialization gate activation,SAFE_DELETE_MERGED_REF,
oleander/visual-production-depth-20260910,c1016879f5e043d01ab99655f89b9f652f001966,2026-09-10 12:36:58 +0800,Repair visual quality convergence after repeated REVISE,SAFE_DELETE_MERGED_REF,
practice/2026-08-16-network-topology,72609aa4e9d0920d31cc7b652c9f08d2ec59871a,2026-08-16 22:04:51 +0800,practice: add topology-first revision SVG,SAFE_DELETE_MERGED_REF,
practice/2026-08-16-packaging-info-hierarchy,0422e52422f448fbf71c84aa566f0d0ef9de1c10,2026-08-16 23:05:34 +0800,practice: add packaging hierarchy revised output,SAFE_DELETE_MERGED_REF,
practice/2026-08-16-technical-drawing-lineweight,9605cf8d7b64448beabffba732b4aaeaffffe654,2026-08-16 19:04:42 +0800,practice: add hierarchical lineweight drawing,SAFE_DELETE_MERGED_REF,
practice/2026-08-17-cmf-role-allocation,bc05c9e7e4fd4ab5f09c2dd08e5b0abdf28f9a6c,2026-08-17 06:06:10 +0800,Practice: add role-bound CMF SVG,SAFE_DELETE_MERGED_REF,
practice/2026-08-17-earned-attention,0768036ca3058bd2df09349a9cd5e47c0a66dbd0,2026-08-17 04:07:21 +0800,practice: add after mobile static SVG,SAFE_DELETE_MERGED_REF,
practice/2026-08-17-planting-field-structure,a5677eacf2c88e089b536f9450ebb6460fa158fc,2026-08-17 08:00:09 +0800,practice: add planting field-structure study,SAFE_DELETE_MERGED_REF,
practice/2026-08-17-wayfinding-decision-hierarchy,4078eb0797054b2a147dd9b8a71eaa0e1504ab41,2026-08-17 01:02:37 +0800,practice: document wayfinding decision-priority candidate,SAFE_DELETE_MERGED_REF,
practice/grid-typography-dominant-field-20260816,15c25b2b17e99856b0316ffc45c26fb9b40f97e0,2026-08-16 20:09:11 +0800,practice: add dominant-field revision SVG,SAFE_DELETE_MERGED_REF,
practice/nasa-grid-reconstruction-20260817,ddef0d79486b940d2fcc6b243234ca152c4bf10a,2026-08-17 10:05:38 +0800,practice: add editable NASA grid reconstruction SVG,SAFE_DELETE_MERGED_REF,
practice/sp01-r02-gis-pap-rebase-20260811,64d99b3da05fe3ce9cbd707cd8ef1d1139780666,2026-08-11 23:13:21 +0800,Record SP01 PAP rescue in machine evidence snapshot,SAFE_DELETE_MERGED_REF,
repair/control-plane-v0-3-1-session-runtime,c584779862de244d18cfec6d46e3f0d638b7a08d,2026-08-13 22:58:37 +0800,Finalize v0.12 canonical sync scan receipt,SAFE_DELETE_MERGED_REF,
skills/game-ui-stack-v0-1,ca147a95d27eb99db9e76bb81e516bb3cba9253c,2026-08-17 15:09:40 +0800,OLEANDER: add game UI specialist skill stack v0.1,SAFE_DELETE_MERGED_REF,
skills/oleander-motion-v02-rebase-20260811,62760417200d48a7ba63a9a88db7f436134a9408,2026-08-11 23:37:00 +0800,Rebase OLEANDER motion skill v0.2 onto current final mainline,SAFE_DELETE_MERGED_REF,
sync/candidate-main-20260906,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
sync/candidate-main-20260906b,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
sync/candidate-main-20260907,ceb30a0adc0dd1f027d8c830c8128845285184be,2026-09-07 14:12:12 +0800,governance: align C04 control card to fresh Web head,SAFE_DELETE_MERGED_REF,
sync/candidate-main-20260907b,85176cfdf1bb23dfc0547388d1e0831ca4db841b,2026-09-07 15:32:58 +0800,3d-skill: separate runtime project learning from historical Skill usage,SAFE_DELETE_MERGED_REF,
sync/candidate-preflight-main-20260906,e57e8442921f4c585e4187eb351234fb19fba8c5,2026-09-07 00:05:59 +0800,Merge PR #484: Blender 5.2 producer preflight,SAFE_DELETE_MERGED_REF,
sync/preflight-main-20260906,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
sync/preflight-main-20260906b,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
sync/preflight-main-20260906c,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
tmp/noop,13d9e4aa39bfddb0b0a26adc9dcbc575ec621cbc,2026-09-05 08:47:30 +0800,governance: sync canonical anti-pollution policy with consolidation throttle,SAFE_DELETE_MERGED_REF,
validation/c01-adult-pilot-scope-sync-20260907,85176cfdf1bb23dfc0547388d1e0831ca4db841b,2026-09-07 15:32:58 +0800,3d-skill: separate runtime project learning from historical Skill usage,SAFE_DELETE_MERGED_REF,
validation/c01-r03-input-integrity-20260907,3ff9b30f3711db47a714720c3e89fdd97bddb265,2026-09-07 04:29:15 +0800,design(c04): repair J04 topology and decision-point read,SAFE_DELETE_MERGED_REF,
validation/c01-r03-input-integrity-20260907b,3ff9b30f3711db47a714720c3e89fdd97bddb265,2026-09-07 04:29:15 +0800,design(c04): repair J04 topology and decision-point read,SAFE_DELETE_MERGED_REF,
validation/c01-r03-integrity-fix-20260907-1536,85176cfdf1bb23dfc0547388d1e0831ca4db841b,2026-09-07 15:32:58 +0800,3d-skill: separate runtime project learning from historical Skill usage,SAFE_DELETE_MERGED_REF,
validation/c01-r03-reliability-input-integrity,e119f1d453acb755c69e5f0801cc96321a354c35,2026-09-06 13:04:30 +0800,governance: refresh C04 PR465 current head in global queue,SAFE_DELETE_MERGED_REF,
validation/c01-r03-reliability-integrity-20260906,ee142fa4eff5dcacc5c10cb42dde62abc37dd2d2,2026-09-06 07:24:57 +0800,design(c04): repair P01 scene-fit and footfall relation,SAFE_DELETE_MERGED_REF,
validation/c04-app-map-v1-2-20260909,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
validation/c04-j02-independent-readback-20260908,a2490daae27cb294657d55d0d4a89ed7867876c5,2026-09-08 04:12:24 +0800,governance: register exact Current carriers in anti-pollution guard,SAFE_DELETE_MERGED_REF,
validation/c04-j04-route03-source-return-20260907,8f3c7e0fe1d6506bca7ed26f16df66b198f11385,2026-09-07 02:27:40 +0800,design(c04): add J04 branching walk native carrier,SAFE_DELETE_MERGED_REF,
xj01/r02-cmf-v118-migration-20260811,9bbc564ffa32a2fedef4858523ffb5b30da5a5a3,2026-08-11 23:06:18 +0800,Add v1.18-bound machine record for XJ01 R02 CMF decisions,SAFE_DELETE_MERGED_REF,
agent/oleander-execution-surface-readback-20260912,153b73936533587e6a5df50ed512899180896020,2026-09-12 14:28:26 +0800,governance(runtime): bind local MCP readback to shared execution surfaces,PROTECTED_MERGED_REF,ACTIVE_WORKTREE
skills/game-ui-stack-v0-1-clean,ca147a95d27eb99db9e76bb81e516bb3cba9253c,2026-08-17 15:09:40 +0800,OLEANDER: add game UI specialist skill stack v0.1,PROTECTED_MERGED_REF,OPEN_PR_BASE
